order_date,order_id,product_id,net
20-05-2018,3153813,5038,8
20-05-2018,3156101,5038,8
20-05-2018,3156010,5038,8
20-05-2018,3153826,5038,8
20-05-2018,3156413,5038,8
20-05-2018,3150784,5038,8
20-05-2018,3152448,8916,8
20-05-2018,3152565,8916,8
20-05-2018,3157089,8916,8
20-05-2018,3156660,8916,8
20-05-2018,3154320,8916,8
20-05-2018,3156309,8916,8
20-05-2018,3150784,8916,8
20-05-2018,3153826,5077,8
20-05-2018,3155646,5077,8
20-05-2018,3155243,8914,9
20-05-2018,3153826,8914,9
20-05-2018,3152565,8914,9
20-05-2018,3153826,8953,9
20-05-2018,3155347,5066,10
20-05-2018,3157232,5066,10
20-05-2018,3156881,5066,10
20-05-2018,3157076,5066,10
20-05-2018,3155724,5066,10
20-05-2018,3154541,5066,10
20-05-2018,3150849,5066,10
20-05-2018,3155503,5066,10
20-05-2018,3155022,5066,10
20-05-2018,3154320,5066,10
20-05-2018,3152656,5066,10
20-05-2018,3157089,5066,10
20-05-2018,3155737,5066,10
20-05-2018,3156309,5066,10
20-05-2018,3150784,5066,10
20-05-2018,3156010,5066,10
20-05-2018,3155126,5066,10
20-05-2018,3155347,5095,10
20-05-2018,3156192,5095,10
20-05-2018,3150784,5095,10
20-05-2018,3155321,10726,10
20-05-2018,3155945,10726,10
20-05-2018,3157232,4741,12
20-05-2018,3153826,4741,12
20-05-2018,3154112,4741,12
20-05-2018,3150810,4741,12
20-05-2018,3157089,4741,12
20-05-2018,3156101,4741,12
20-05-2018,3156699,4741,12
20-05-2018,3155789,4741,12
20-05-2018,3156010,5016,12
20-05-2018,3156699,5016,12
20-05-2018,3155815,5016,12
20-05-2018,3154567,5016,12
20-05-2018,3155997,5016,12
20-05-2018,3155698,5016,12
20-05-2018,3156244,5016,12
20-05-2018,3152565,5016,12
20-05-2018,3150823,5016,12
20-05-2018,3151915,5016,12
20-05-2018,3155347,5016,12
20-05-2018,3155737,5016,12
20-05-2018,3153826,8924,13
20-05-2018,3157154,5080,13
20-05-2018,3152747,5080,13
20-05-2018,3155607,5080,13
20-05-2018,3150823,5080,13
20-05-2018,3156127,5080,13
20-05-2018,3155646,5080,13
20-05-2018,3156621,5080,13
20-05-2018,3152448,5080,13
20-05-2018,3156413,5080,13
20-05-2018,3153826,8918,14
20-05-2018,3156153,8918,14
20-05-2018,3155022,8918,14
20-05-2018,3157232,8918,14
20-05-2018,3156153,5046,14
20-05-2018,3156101,5065,14
20-05-2018,3154619,8915,14
20-05-2018,3156153,8915,14
20-05-2018,3153826,5017,15
20-05-2018,3156153,5017,15
20-05-2018,3155698,5017,15
20-05-2018,3151915,5017,15
20-05-2018,3150784,5017,15
20-05-2018,3157232,5017,15
20-05-2018,3156062,5017,15
20-05-2018,3156153,8921,15
20-05-2018,3157089,8921,15
20-05-2018,3153826,8921,15
20-05-2018,3157089,5071,15
20-05-2018,3156010,5049,15
20-05-2018,3156153,5049,15
20-05-2018,3150784,5049,15
20-05-2018,3151863,5049,15
20-05-2018,3155347,5049,15
20-05-2018,3155724,5044,15
20-05-2018,3155022,5044,15
20-05-2018,3152656,5044,15
20-05-2018,3154541,5044,15
20-05-2018,3157011,5044,15
20-05-2018,3155243,5044,15
20-05-2018,3155529,5044,15
20-05-2018,3157089,5044,15
20-05-2018,3153254,5044,15
20-05-2018,3150784,5036,15
20-05-2018,3154541,5038,16
20-05-2018,3156296,8923,16
20-05-2018,3157089,8923,16
20-05-2018,3156010,5043,17
20-05-2018,3156192,5043,17
20-05-2018,3152747,5043,17
20-05-2018,3150784,5043,17
20-05-2018,3155347,5043,17
20-05-2018,3155997,5043,17
20-05-2018,3153826,5055,17
20-05-2018,3156101,5055,17
20-05-2018,3154372,5055,17
20-05-2018,3156010,5055,17
20-05-2018,3152994,5055,17
20-05-2018,3157089,5055,17
20-05-2018,3156296,5055,17
20-05-2018,3155854,4947,17
20-05-2018,3155022,2244,18
20-05-2018,3155555,2244,18
20-05-2018,3155412,2244,18
20-05-2018,3156569,5091,18
20-05-2018,3154307,3,18
20-05-2018,3156842,3,18
20-05-2018,3152812,3,18
20-05-2018,3151759,3,18
20-05-2018,3153748,3,18
20-05-2018,3152721,3,18
20-05-2018,3153410,3,18
20-05-2018,3155516,3,18
20-05-2018,3154112,3,18
20-05-2018,3154476,3,18
20-05-2018,3151421,3,18
20-05-2018,3153202,3,18
20-05-2018,3155126,3,18
20-05-2018,3156387,3,18
20-05-2018,3150875,3,18
20-05-2018,3156114,3,18
20-05-2018,3154333,3,18
20-05-2018,3153839,3,18
20-05-2018,3154645,3,18
20-05-2018,3150953,3,18
20-05-2018,3150966,3,18
20-05-2018,3150758,3,18
20-05-2018,3152461,3,18
20-05-2018,3150797,6,18
